year,plot,period,model,roc_auc,accuracy,macro_f1,n_birds,n_labelled
2013,MSTO,daytime,logistic_regression,0.5196,0.5146,0.5145,103,103
2013,MSTO,daytime,svm_rbf,0.4264,0.466,0.4587,103,103
2013,MSTO,daytime,random_forest,0.3913,0.4466,0.4464,103,103
2013,MSTO,nighttime,svm_rbf,0.5054,0.3878,0.3813,98,98
2013,MSTO,nighttime,logistic_regression,0.4658,0.4796,0.4791,98,98
2013,MSTO,nighttime,random_forest,0.4344,0.5102,0.5069,98,98
2013,SPRA,daytime,random_forest,0.4855,0.5263,0.5191,114,114
2013,SPRA,daytime,logistic_regression,0.483,0.5351,0.5245,114,114
2013,SPRA,daytime,svm_rbf,0.4678,0.5088,0.5063,114,114
2013,SPRA,nighttime,svm_rbf,0.5147,0.4762,0.4064,105,105
2013,SPRA,nighttime,random_forest,0.426,0.419,0.4171,105,105
2013,SPRA,nighttime,logistic_regression,0.4231,0.4476,0.4472,105,105
2014,MSTO,daytime,svm_rbf,0.7373,0.2188,0.2118,32,32
2014,MSTO,daytime,logistic_regression,0.2824,0.3125,0.3098,32,32
2014,MSTO,daytime,random_forest,0.2098,0.25,0.2381,32,32
2014,MSTO,nighttime,svm_rbf,0.6778,0.3333,0.325,27,27
2014,MSTO,nighttime,random_forest,0.2917,0.3333,0.325,27,27
2014,MSTO,nighttime,logistic_regression,0.2389,0.3333,0.3324,27,27
2014,SPRA,daytime,svm_rbf,0.5641,0.4138,0.4051,116,116
2014,SPRA,daytime,logistic_regression,0.3849,0.431,0.4283,116,116
2014,SPRA,daytime,random_forest,0.3674,0.4224,0.4151,116,116
2014,SPRA,nighttime,svm_rbf,0.5217,0.4561,0.4478,114,114
2014,SPRA,nighttime,logistic_regression,0.4595,0.5,0.4997,114,114
2014,SPRA,nighttime,random_forest,0.4482,0.4737,0.4711,114,114
2015,MSTO,daytime,svm_rbf,0.5705,0.3684,0.3523,19,19
2015,MSTO,daytime,random_forest,0.391,0.5263,0.3448,19,19
2015,MSTO,daytime,logistic_regression,0.3141,0.4211,0.3569,19,19
2015,MSTO,nighttime,svm_rbf,0.5758,0.4706,0.32,17,17
2015,MSTO,nighttime,random_forest,0.197,0.2353,0.1905,17,17
2015,MSTO,nighttime,logistic_regression,0.1667,0.4118,0.2917,17,17
2015,SPRA,daytime,logistic_regression,0.5933,0.5208,0.5175,96,96
2015,SPRA,daytime,svm_rbf,0.4688,0.5,0.4945,96,96
2015,SPRA,daytime,random_forest,0.4063,0.4167,0.4103,96,96
2015,SPRA,nighttime,svm_rbf,0.4657,0.5,0.4997,88,88
2015,SPRA,nighttime,random_forest,0.4447,0.3977,0.3939,88,88
2015,SPRA,nighttime,logistic_regression,0.4081,0.4205,0.4204,88,88
2015,LLOD,daytime,svm_rbf,0.546,0.4159,0.4137,113,113
2015,LLOD,daytime,random_forest,0.4551,0.469,0.467,113,113
2015,LLOD,daytime,logistic_regression,0.4471,0.4867,0.4867,113,113
2015,LLOD,nighttime,svm_rbf,0.4477,0.4815,0.399,108,108
2015,LLOD,nighttime,logistic_regression,0.4292,0.463,0.4563,108,108
2015,LLOD,nighttime,random_forest,0.3546,0.3796,0.3783,108,108
2016,MSTO,daytime,svm_rbf,0.6306,0.4043,0.3974,48,47
2016,MSTO,daytime,logistic_regression,0.4145,0.4255,0.4084,48,47
2016,MSTO,daytime,random_forest,0.297,0.4468,0.3088,48,47
2016,MSTO,nighttime,svm_rbf,0.612,0.234,0.2309,48,47
2016,MSTO,nighttime,random_forest,0.3019,0.2979,0.2862,48,47
2016,MSTO,nighttime,logistic_regression,0.2046,0.2128,0.2128,48,47
2016,SPRA,daytime,logistic_regression,0.5148,0.5269,0.5263,168,167
2016,SPRA,daytime,svm_rbf,0.4841,0.491,0.4863,168,167
2016,SPRA,daytime,random_forest,0.467,0.4671,0.4608,168,167
2016,SPRA,nighttime,svm_rbf,0.44,0.4935,0.4848,155,154
2016,SPRA,nighttime,logistic_regression,0.4267,0.4351,0.435,155,154
2016,SPRA,nighttime,random_forest,0.4256,0.4351,0.4339,155,154
2016,LLOD,daytime,logistic_regression,0.5231,0.5366,0.5296,88,82
2016,LLOD,daytime,random_forest,0.5157,0.5488,0.4616,88,82
2016,LLOD,daytime,svm_rbf,0.4622,0.5,0.4981,88,82
2016,LLOD,nighttime,logistic_regression,0.5435,0.5405,0.5392,79,74
2016,LLOD,nighttime,random_forest,0.4689,0.4865,0.485,79,74
2016,LLOD,nighttime,svm_rbf,0.4647,0.473,0.4268,79,74
2017,MSTO,daytime,logistic_regression,0.4352,0.4884,0.4525,44,43
2017,MSTO,daytime,svm_rbf,0.4259,0.4419,0.4391,44,43
2017,MSTO,daytime,random_forest,0.4213,0.4186,0.3252,44,43
2017,MSTO,nighttime,logistic_regression,0.441,0.4865,0.4804,38,37
2017,MSTO,nighttime,svm_rbf,0.3354,0.6216,0.6076,38,37
2017,MSTO,nighttime,random_forest,0.2469,0.3514,0.2885,38,37
2017,SPRA,daytime,random_forest,0.5914,0.5537,0.5537,121,121
2017,SPRA,daytime,logistic_regression,0.5574,0.5702,0.5695,121,121
2017,SPRA,daytime,svm_rbf,0.5172,0.6116,0.5957,121,121
2017,SPRA,nighttime,random_forest,0.5217,0.5207,0.5167,121,121
2017,SPRA,nighttime,svm_rbf,0.4969,0.5702,0.5511,121,121
2017,SPRA,nighttime,logistic_regression,0.4597,0.4628,0.4627,121,121
2017,LLOD,daytime,svm_rbf,0.5561,0.4797,0.4393,123,123
2017,LLOD,daytime,random_forest,0.4978,0.5285,0.4695,123,123
2017,LLOD,daytime,logistic_regression,0.4892,0.4959,0.4919,123,123
2017,LLOD,nighttime,svm_rbf,0.5624,0.4407,0.4165,118,118
2017,LLOD,nighttime,random_forest,0.4393,0.4322,0.4202,118,118
2017,LLOD,nighttime,logistic_regression,0.4388,0.5169,0.5161,118,118
