year,plot,period,n_birds,kmeans_best_k,kmeans_sil,kmeans_dbi,kmeans_sex_ari,kmeans_sex_nmi,hdbscan_n_clusters,hdbscan_n_noise,hdbscan_sil,hdbscan_sex_ari,hdbscan_sex_nmi
2013,MSTO,daytime,103,7,0.5053,0.8924,-0.0108,0.008,5,30,0.6442,-0.0077,0.0153
2013,MSTO,nighttime,98,7,0.8326,0.3223,0.0002,0.0174,4,29,0.7365,-0.0082,0.0124
2013,SPRA,daytime,114,8,0.4552,1.0037,-0.0054,0.0128,2,14,0.2587,-0.0112,0.0104
2013,SPRA,nighttime,105,7,0.8058,0.3678,-0.0015,0.0081,3,27,0.5438,-0.0125,0.0042
2014,MSTO,daytime,32,3,0.7607,0.3105,-0.0397,0.0014,3,0,0.7607,-0.0397,0.0014
2014,MSTO,nighttime,27,4,0.785,0.2321,-0.0451,0.0104,2,5,0.7765,-0.0377,0.0109
2014,SPRA,daytime,116,8,0.4942,0.8789,0.0005,0.0147,3,23,0.3727,-0.005,0.0038
2014,SPRA,nighttime,114,8,0.7425,0.4975,-0.0089,0.0098,5,20,0.5959,-0.0076,0.0066
2015,MSTO,daytime,19,3,0.8601,0.1961,-0.0268,0.0299,0,19,-1.0,,
2015,MSTO,nighttime,17,3,0.8189,0.0548,0.0286,0.1603,2,3,0.5401,0.1182,0.0939
2015,SPRA,daytime,96,5,0.7415,0.3675,-0.0084,0.0134,4,4,0.7718,-0.0097,0.0111
2015,SPRA,nighttime,88,6,0.795,0.3765,-0.0062,0.0241,3,14,0.7688,-0.0098,0.0138
2015,LLOD,daytime,113,8,0.5321,0.8169,-0.0116,0.0066,4,37,0.5651,-0.0138,0.0053
2015,LLOD,nighttime,108,6,0.9054,0.2312,-0.0046,0.0039,4,31,0.7415,-0.0173,0.002
2016,MSTO,daytime,48,4,0.6213,0.474,-0.0224,0.0027,2,0,0.4953,-0.0088,0.0
2016,MSTO,nighttime,48,3,0.8216,0.3271,-0.0248,0.0041,4,15,0.8008,-0.0443,0.0014
2016,SPRA,daytime,168,7,0.5193,0.7018,-0.005,0.0279,0,168,-1.0,,
2016,SPRA,nighttime,155,7,0.7478,0.3021,0.0019,0.019,3,6,0.4661,-0.0031,0.0139
2016,LLOD,daytime,88,4,0.68,0.4732,-0.0099,0.0338,4,3,0.7118,-0.0081,0.0347
2016,LLOD,nighttime,79,6,0.8003,0.2684,-0.0209,0.0537,4,30,0.7678,-0.0317,0.0008
2017,MSTO,daytime,44,3,0.6935,0.4334,-0.0141,0.0227,3,3,0.7251,-0.0191,0.026
2017,MSTO,nighttime,38,4,0.8812,0.1698,0.0072,0.029,4,7,0.8399,-0.0316,0.02
2017,SPRA,daytime,121,4,0.6292,0.5589,-0.0055,0.0037,0,121,-1.0,,
2017,SPRA,nighttime,121,4,0.6737,0.5078,0.0157,0.0312,3,1,0.5671,0.021,0.0384
2017,LLOD,daytime,123,5,0.6135,0.6456,-0.005,0.0045,4,7,0.6236,-0.0006,0.0051
2017,LLOD,nighttime,118,7,0.8511,0.1987,0.0016,0.0035,5,22,0.7666,0.0169,0.0352
