year,plot,period,n_nodes,n_edges,rel_coverage,topo_auc,rel_auc,delta_auc,topo_ap,rel_ap
2013,MSTO,daytime,88,760,1.0,0.9363,0.9371,0.0008,0.9393,0.9404
2013,MSTO,nighttime,41,124,1.0,0.9913,0.9948,0.0035,0.9914,0.9951
2013,SPRA,daytime,93,737,1.0,0.875,0.8726,-0.0025,0.8755,0.8686
2013,SPRA,nighttime,34,105,1.0,0.7959,0.8957,0.0998,0.7631,0.9435
2014,MSTO,daytime,24,91,1.0,0.9784,0.963,-0.0154,0.979,0.9578
2014,MSTO,nighttime,19,72,0.895,0.9031,0.699,-0.2041,0.9255,0.735
2014,SPRA,daytime,107,1221,0.963,0.9513,0.955,0.0037,0.9412,0.9548
2014,SPRA,nighttime,80,704,1.0,0.9866,0.9818,-0.0048,0.9887,0.9851
2015,MSTO,daytime,14,51,0.857,1.0,1.0,0.0,1.0,1.0
2015,SPRA,daytime,80,1302,0.764,0.9975,0.9971,-0.0004,0.9975,0.9971
2015,SPRA,nighttime,54,799,0.822,0.9922,0.985,-0.0072,0.9944,0.9905
2015,LLOD,daytime,103,763,0.981,0.9739,0.9765,0.0026,0.9775,0.9801
2016,MSTO,daytime,42,431,0.952,0.9648,0.9884,0.0235,0.9653,0.9909
2016,MSTO,nighttime,21,104,1.0,0.945,0.96,0.015,0.9552,0.9665
2016,SPRA,daytime,153,6256,0.948,0.9732,0.9732,-0.0,0.9766,0.9753
2016,SPRA,nighttime,135,3793,0.941,0.9912,0.995,0.0037,0.9908,0.9946
2016,LLOD,daytime,72,922,0.865,0.9834,0.9766,-0.0068,0.9799,0.9733
2016,LLOD,nighttime,33,156,0.881,0.9823,0.9834,0.001,0.986,0.9878
2017,MSTO,daytime,34,318,0.941,0.9534,0.9476,-0.0058,0.9622,0.9561
2017,MSTO,nighttime,21,54,0.905,0.78,0.87,0.09,0.7967,0.8948
2017,SPRA,daytime,114,3904,0.948,0.993,0.9909,-0.002,0.9934,0.9914
2017,SPRA,nighttime,101,2743,0.941,0.9956,0.9902,-0.0054,0.9952,0.9895
2017,LLOD,daytime,103,1230,1.0,0.9831,0.9762,-0.0069,0.9835,0.9725
2017,LLOD,nighttime,48,278,1.0,0.9693,0.9974,0.0281,0.9433,0.9974
